,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-7686b
1,4,True,0,0,18,north,AYO-7686b
2,5,True,0,0,,north,AYO-7686b
3,6,True,0,0,,north,AYO-7686b
4,2,True,0,0,,north,AYO-7686b
5,3,,0,0,,north,AYO-7686b
6,4,,0,0,,north,AYO-7686b
7,5,,0,0,,north,AYO-7686b
8,6,,0,0,,north,AYO-7686b
9,1,,0,0,,north,AYO-7686b
10,2,,0,0,,north,AYO-7686b
11,3,,0,0,,north,AYO-7686b
12,5,,0,0,,north,AYO-7686b
13,6,,0,0,,north,AYO-7686b
14,4,,0,0,,north,AYO-7686b
15,6,,0,0,,north,AYO-7686b
16,5,,0,0,,north,AYO-7686b
17,6,,1,0,,north,AYO-7686b
0,2,True,0,0,0,south,AYO-7686b
1,3,True,0,0,30,south,AYO-7686b
2,1,True,0,0,,south,AYO-7686b
3,6,True,0,0,,south,AYO-7686b
4,4,True,0,0,,south,AYO-7686b
5,3,True,0,0,,south,AYO-7686b
6,5,True,0,0,,south,AYO-7686b
7,4,True,0,0,,south,AYO-7686b
8,5,True,0,0,,south,AYO-7686b
9,2,,0,0,,south,AYO-7686b
10,6,,0,0,,south,AYO-7686b
11,5,,0,0,,south,AYO-7686b
12,6,,0,0,,south,AYO-7686b
13,3,,0,0,,south,AYO-7686b
14,4,,0,0,,south,AYO-7686b
15,5,,0,0,,south,AYO-7686b
16,6,,0,0,,south,AYO-7686b
17,1,,0,0,,south,AYO-7686b
18,2,,0,0,,south,AYO-7686b
19,3,,0,0,,south,AYO-7686b
20,4,,0,0,,south,AYO-7686b
