,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-922cb
1,4,True,0,0,23,north,AYO-922cb
2,5,True,0,0,,north,AYO-922cb
3,6,True,0,0,,north,AYO-922cb
4,1,True,0,0,,north,AYO-922cb
5,2,,0,0,,north,AYO-922cb
6,6,,0,0,,north,AYO-922cb
7,5,,0,0,,north,AYO-922cb
8,3,,0,0,,north,AYO-922cb
9,4,,0,0,,north,AYO-922cb
10,6,,0,0,,north,AYO-922cb
11,5,,0,0,,north,AYO-922cb
12,6,,1,0,,north,AYO-922cb
0,2,True,0,0,0,south,AYO-922cb
1,3,True,0,0,25,south,AYO-922cb
2,1,True,0,0,,south,AYO-922cb
3,6,True,0,0,,south,AYO-922cb
4,4,True,0,0,,south,AYO-922cb
5,3,True,0,0,,south,AYO-922cb
6,5,True,0,0,,south,AYO-922cb
7,4,,0,0,,south,AYO-922cb
8,5,,0,0,,south,AYO-922cb
9,6,,0,0,,south,AYO-922cb
10,4,,0,0,,south,AYO-922cb
11,5,,0,0,,south,AYO-922cb
12,6,,0,0,,south,AYO-922cb
13,3,,0,0,,south,AYO-922cb
