,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-d15d7
1,4,True,0,0,23,north,AYO-d15d7
2,5,True,0,0,,north,AYO-d15d7
3,6,True,0,0,,north,AYO-d15d7
4,1,True,0,0,,north,AYO-d15d7
5,2,,0,0,,north,AYO-d15d7
6,6,,0,0,,north,AYO-d15d7
7,4,,0,0,,north,AYO-d15d7
8,5,,0,0,,north,AYO-d15d7
9,6,,0,0,,north,AYO-d15d7
10,3,,0,0,,north,AYO-d15d7
11,4,,0,0,,north,AYO-d15d7
12,5,,0,0,,north,AYO-d15d7
13,6,,1,0,,north,AYO-d15d7
0,2,True,0,0,0,south,AYO-d15d7
1,3,True,0,0,25,south,AYO-d15d7
2,1,True,0,0,,south,AYO-d15d7
3,6,True,0,0,,south,AYO-d15d7
4,4,True,0,0,,south,AYO-d15d7
5,3,True,0,0,,south,AYO-d15d7
6,5,True,0,0,,south,AYO-d15d7
7,4,True,0,0,,south,AYO-d15d7
8,5,,0,0,,south,AYO-d15d7
9,6,,0,0,,south,AYO-d15d7
10,3,,0,0,,south,AYO-d15d7
11,5,,0,0,,south,AYO-d15d7
12,6,,0,0,,south,AYO-d15d7
13,4,,0,0,,south,AYO-d15d7
14,6,,0,0,,south,AYO-d15d7
15,5,,0,0,,south,AYO-d15d7
