,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-ecd63
1,4,True,0,0,13,north,AYO-ecd63
2,5,True,0,0,,north,AYO-ecd63
3,6,True,0,0,,north,AYO-ecd63
4,2,True,0,0,,north,AYO-ecd63
5,1,,0,0,,north,AYO-ecd63
6,5,,0,0,,north,AYO-ecd63
7,6,,0,0,,north,AYO-ecd63
8,3,,0,0,,north,AYO-ecd63
9,4,,0,0,,north,AYO-ecd63
10,5,,0,0,,north,AYO-ecd63
11,6,,0,0,,north,AYO-ecd63
12,2,,0,0,,north,AYO-ecd63
13,3,,0,0,,north,AYO-ecd63
0,2,True,0,0,0,south,AYO-ecd63
1,3,True,0,0,35,south,AYO-ecd63
2,1,True,0,0,,south,AYO-ecd63
3,6,True,0,0,,south,AYO-ecd63
4,4,True,0,0,,south,AYO-ecd63
5,3,True,0,0,,south,AYO-ecd63
6,5,True,0,0,,south,AYO-ecd63
7,4,True,0,0,,south,AYO-ecd63
8,5,True,0,0,,south,AYO-ecd63
9,2,True,0,0,,south,AYO-ecd63
10,6,True,0,0,,south,AYO-ecd63
11,5,,0,0,,south,AYO-ecd63
12,6,,0,0,,south,AYO-ecd63
13,1,,0,0,,south,AYO-ecd63
14,3,,0,0,,south,AYO-ecd63
15,5,,0,0,,south,AYO-ecd63
16,4,,0,0,,south,AYO-ecd63
17,5,,0,0,,south,AYO-ecd63
18,6,,0,0,,south,AYO-ecd63
19,2,,1,0,,south,AYO-ecd63
