,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-26dd2
1,4,True,0,0,23,north,AYO-26dd2
2,5,True,0,0,,north,AYO-26dd2
3,6,True,0,0,,north,AYO-26dd2
4,1,True,0,0,,north,AYO-26dd2
5,2,,0,0,,north,AYO-26dd2
6,6,,0,0,,north,AYO-26dd2
7,5,,0,0,,north,AYO-26dd2
8,3,,0,0,,north,AYO-26dd2
9,4,,0,0,,north,AYO-26dd2
10,6,,0,0,,north,AYO-26dd2
11,5,,0,0,,north,AYO-26dd2
12,6,,1,0,,north,AYO-26dd2
0,2,True,0,0,0,south,AYO-26dd2
1,3,True,0,0,25,south,AYO-26dd2
2,1,True,0,0,,south,AYO-26dd2
3,6,True,0,0,,south,AYO-26dd2
4,4,True,0,0,,south,AYO-26dd2
5,3,True,0,0,,south,AYO-26dd2
6,5,True,0,0,,south,AYO-26dd2
7,4,,0,0,,south,AYO-26dd2
8,5,,0,0,,south,AYO-26dd2
9,6,,0,0,,south,AYO-26dd2
10,4,,0,0,,south,AYO-26dd2
11,5,,0,0,,south,AYO-26dd2
12,6,,0,0,,south,AYO-26dd2
13,3,,0,0,,south,AYO-26dd2
