,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-35a5d
1,4,,0,0,18,north,AYO-35a5d
2,5,,0,0,,north,AYO-35a5d
3,6,,0,0,,north,AYO-35a5d
4,2,,0,0,,north,AYO-35a5d
5,5,,0,0,,north,AYO-35a5d
6,4,,0,0,,north,AYO-35a5d
7,3,,0,0,,north,AYO-35a5d
0,2,True,0,0,0,south,AYO-35a5d
1,3,True,0,0,30,south,AYO-35a5d
2,1,True,0,0,,south,AYO-35a5d
3,6,True,0,0,,south,AYO-35a5d
4,4,True,0,0,,south,AYO-35a5d
5,3,True,0,0,,south,AYO-35a5d
6,5,,0,0,,south,AYO-35a5d
7,4,,0,0,,south,AYO-35a5d
8,5,,0,0,,south,AYO-35a5d
9,2,,0,0,,south,AYO-35a5d
10,4,,0,0,,south,AYO-35a5d
11,5,,0,0,,south,AYO-35a5d
12,6,,1,0,,south,AYO-35a5d
