,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-cd873
1,4,True,0,0,15,north,AYO-cd873
2,5,True,0,0,,north,AYO-cd873
3,6,,0,0,,north,AYO-cd873
4,2,,0,0,,north,AYO-cd873
5,5,,0,0,,north,AYO-cd873
6,3,,0,0,,north,AYO-cd873
7,1,,0,0,,north,AYO-cd873
8,4,,0,0,,north,AYO-cd873
9,5,,0,0,,north,AYO-cd873
10,6,,0,0,,north,AYO-cd873
0,2,True,0,0,0,south,AYO-cd873
1,3,True,0,0,33,south,AYO-cd873
2,1,True,0,0,,south,AYO-cd873
3,6,True,0,0,,south,AYO-cd873
4,4,True,0,0,,south,AYO-cd873
5,3,True,0,0,,south,AYO-cd873
6,5,True,0,0,,south,AYO-cd873
7,4,True,0,0,,south,AYO-cd873
8,5,,0,0,,south,AYO-cd873
9,2,,0,0,,south,AYO-cd873
10,3,,0,0,,south,AYO-cd873
11,5,,0,0,,south,AYO-cd873
12,6,,0,0,,south,AYO-cd873
13,4,,0,0,,south,AYO-cd873
14,6,,0,0,,south,AYO-cd873
15,5,,1,0,,south,AYO-cd873
