,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-1811b
1,4,True,0,0,15,north,AYO-1811b
2,5,True,0,0,,north,AYO-1811b
3,6,True,0,0,,north,AYO-1811b
4,1,True,0,0,,north,AYO-1811b
5,2,,0,0,,north,AYO-1811b
6,6,,0,0,,north,AYO-1811b
7,3,,0,0,,north,AYO-1811b
8,4,,0,0,,north,AYO-1811b
9,6,,0,0,,north,AYO-1811b
10,5,,0,0,,north,AYO-1811b
11,6,,1,0,,north,AYO-1811b
0,2,True,0,0,0,south,AYO-1811b
1,3,True,0,0,33,south,AYO-1811b
2,1,True,0,0,,south,AYO-1811b
3,6,True,0,0,,south,AYO-1811b
4,4,True,0,0,,south,AYO-1811b
5,3,,0,0,,south,AYO-1811b
6,5,,0,0,,south,AYO-1811b
7,4,,0,0,,south,AYO-1811b
8,5,,0,0,,south,AYO-1811b
9,6,,0,0,,south,AYO-1811b
10,4,,0,0,,south,AYO-1811b
