,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-ba830
1,4,True,0,0,20,north,AYO-ba830
2,5,True,0,0,,north,AYO-ba830
3,6,True,0,0,,north,AYO-ba830
4,2,True,0,0,,north,AYO-ba830
5,4,,0,0,,north,AYO-ba830
6,5,,0,0,,north,AYO-ba830
7,6,,0,0,,north,AYO-ba830
8,1,,0,0,,north,AYO-ba830
9,5,,0,0,,north,AYO-ba830
10,4,,0,0,,north,AYO-ba830
11,2,,0,0,,north,AYO-ba830
12,5,,0,0,,north,AYO-ba830
13,3,,0,0,,north,AYO-ba830
14,6,,0,0,,north,AYO-ba830
15,5,,0,0,,north,AYO-ba830
16,6,,0,0,,north,AYO-ba830
17,4,,0,0,,north,AYO-ba830
0,2,True,0,0,0,south,AYO-ba830
1,3,True,0,0,28,south,AYO-ba830
2,1,True,0,0,,south,AYO-ba830
3,6,True,0,0,,south,AYO-ba830
4,4,True,0,0,,south,AYO-ba830
5,3,True,0,0,,south,AYO-ba830
6,5,True,0,0,,south,AYO-ba830
7,4,True,0,0,,south,AYO-ba830
8,5,True,0,0,,south,AYO-ba830
9,2,True,0,0,,south,AYO-ba830
10,6,,0,0,,south,AYO-ba830
11,5,,0,0,,south,AYO-ba830
12,6,,0,0,,south,AYO-ba830
13,2,,0,0,,south,AYO-ba830
14,3,,0,0,,south,AYO-ba830
15,4,,0,0,,south,AYO-ba830
16,5,,0,0,,south,AYO-ba830
17,6,,0,0,,south,AYO-ba830
18,2,,0,0,,south,AYO-ba830
19,3,,0,0,,south,AYO-ba830
20,4,,0,0,,south,AYO-ba830
21,5,,0,0,,south,AYO-ba830
22,6,,1,0,,south,AYO-ba830
