,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-eabe4
1,4,True,0,0,13,north,AYO-eabe4
2,5,,0,0,,north,AYO-eabe4
3,6,,0,0,,north,AYO-eabe4
4,2,,0,0,,north,AYO-eabe4
5,5,,0,0,,north,AYO-eabe4
6,1,,0,0,,north,AYO-eabe4
7,2,,0,0,,north,AYO-eabe4
8,3,,0,0,,north,AYO-eabe4
9,4,,0,0,,north,AYO-eabe4
10,5,,0,0,,north,AYO-eabe4
11,6,,1,0,,north,AYO-eabe4
0,2,True,0,0,0,south,AYO-eabe4
1,3,True,0,0,35,south,AYO-eabe4
2,1,True,0,0,,south,AYO-eabe4
3,6,True,0,0,,south,AYO-eabe4
4,4,True,0,0,,south,AYO-eabe4
5,3,True,0,0,,south,AYO-eabe4
6,5,True,0,0,,south,AYO-eabe4
7,4,True,0,0,,south,AYO-eabe4
8,5,,0,0,,south,AYO-eabe4
9,2,,0,0,,south,AYO-eabe4
10,4,,0,0,,south,AYO-eabe4
11,5,,0,0,,south,AYO-eabe4
12,6,,0,0,,south,AYO-eabe4
13,3,,0,0,,south,AYO-eabe4
14,5,,0,0,,south,AYO-eabe4
15,6,,0,0,,south,AYO-eabe4
16,1,,0,0,,south,AYO-eabe4
