,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-a59f4
1,4,True,0,0,23,north,AYO-a59f4
2,5,True,0,0,,north,AYO-a59f4
3,6,True,0,0,,north,AYO-a59f4
4,1,True,0,0,,north,AYO-a59f4
5,2,,0,0,,north,AYO-a59f4
6,6,,0,0,,north,AYO-a59f4
7,4,,0,0,,north,AYO-a59f4
8,5,,0,0,,north,AYO-a59f4
9,6,,0,0,,north,AYO-a59f4
10,3,,0,0,,north,AYO-a59f4
11,4,,0,0,,north,AYO-a59f4
12,5,,0,0,,north,AYO-a59f4
13,6,,1,0,,north,AYO-a59f4
0,2,True,0,0,0,south,AYO-a59f4
1,3,True,0,0,25,south,AYO-a59f4
2,1,True,0,0,,south,AYO-a59f4
3,6,True,0,0,,south,AYO-a59f4
4,4,True,0,0,,south,AYO-a59f4
5,3,True,0,0,,south,AYO-a59f4
6,5,,0,0,,south,AYO-a59f4
7,4,,0,0,,south,AYO-a59f4
8,5,,0,0,,south,AYO-a59f4
9,6,,0,0,,south,AYO-a59f4
10,5,,0,0,,south,AYO-a59f4
11,6,,0,0,,south,AYO-a59f4
12,3,,0,0,,south,AYO-a59f4
13,4,,0,0,,south,AYO-a59f4
