,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-61543
1,4,True,0,0,13,north,AYO-61543
2,5,True,0,0,,north,AYO-61543
3,6,True,0,0,,north,AYO-61543
4,2,,0,0,,north,AYO-61543
5,3,,0,0,,north,AYO-61543
6,1,,0,0,,north,AYO-61543
7,4,,0,0,,north,AYO-61543
8,6,,0,0,,north,AYO-61543
9,5,,0,0,,north,AYO-61543
10,6,,0,0,,north,AYO-61543
11,3,,0,0,,north,AYO-61543
12,2,,0,0,,north,AYO-61543
13,3,,0,0,,north,AYO-61543
0,2,True,0,0,0,south,AYO-61543
1,3,True,0,0,35,south,AYO-61543
2,1,True,0,0,,south,AYO-61543
3,6,True,0,0,,south,AYO-61543
4,4,True,0,0,,south,AYO-61543
5,3,True,0,0,,south,AYO-61543
6,5,True,0,0,,south,AYO-61543
7,4,True,0,0,,south,AYO-61543
8,5,True,0,0,,south,AYO-61543
9,2,True,0,0,,south,AYO-61543
10,6,,0,0,,south,AYO-61543
11,5,,0,0,,south,AYO-61543
12,6,,0,0,,south,AYO-61543
13,1,,0,0,,south,AYO-61543
14,3,,0,0,,south,AYO-61543
15,5,,0,0,,south,AYO-61543
16,4,,0,0,,south,AYO-61543
17,2,,0,0,,south,AYO-61543
18,5,,0,0,,south,AYO-61543
19,6,,1,0,,south,AYO-61543
