,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-f633f
1,4,True,0,0,16,north,AYO-f633f
2,5,,0,0,,north,AYO-f633f
3,6,,0,0,,north,AYO-f633f
4,2,,0,0,,north,AYO-f633f
5,5,,0,0,,north,AYO-f633f
6,4,,0,0,,north,AYO-f633f
7,5,,0,0,,north,AYO-f633f
8,6,,0,0,,north,AYO-f633f
9,1,,0,0,,north,AYO-f633f
10,3,,0,0,,north,AYO-f633f
0,2,True,0,0,0,south,AYO-f633f
1,3,True,0,0,32,south,AYO-f633f
2,1,True,0,0,,south,AYO-f633f
3,6,True,0,0,,south,AYO-f633f
4,4,True,0,0,,south,AYO-f633f
5,3,True,0,0,,south,AYO-f633f
6,5,True,0,0,,south,AYO-f633f
7,4,True,0,0,,south,AYO-f633f
8,5,,0,0,,south,AYO-f633f
9,2,,0,0,,south,AYO-f633f
10,3,,0,0,,south,AYO-f633f
11,5,,0,0,,south,AYO-f633f
12,6,,0,0,,south,AYO-f633f
13,4,,0,0,,south,AYO-f633f
14,6,,0,0,,south,AYO-f633f
15,5,,0,0,,south,AYO-f633f
16,6,,1,0,,south,AYO-f633f
