,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-20446
1,4,True,0,0,23,north,AYO-20446
2,5,True,0,0,,north,AYO-20446
3,6,True,0,0,,north,AYO-20446
4,1,True,0,0,,north,AYO-20446
5,2,,0,0,,north,AYO-20446
6,6,,0,0,,north,AYO-20446
7,4,,0,0,,north,AYO-20446
8,5,,0,0,,north,AYO-20446
9,6,,0,0,,north,AYO-20446
10,3,,0,0,,north,AYO-20446
11,4,,0,0,,north,AYO-20446
12,5,,0,0,,north,AYO-20446
13,6,,1,0,,north,AYO-20446
0,2,True,0,0,0,south,AYO-20446
1,3,True,0,0,25,south,AYO-20446
2,1,True,0,0,,south,AYO-20446
3,6,True,0,0,,south,AYO-20446
4,4,True,0,0,,south,AYO-20446
5,3,True,0,0,,south,AYO-20446
6,5,True,0,0,,south,AYO-20446
7,4,True,0,0,,south,AYO-20446
8,5,,0,0,,south,AYO-20446
9,6,,0,0,,south,AYO-20446
10,3,,0,0,,south,AYO-20446
11,5,,0,0,,south,AYO-20446
12,6,,0,0,,south,AYO-20446
13,4,,0,0,,south,AYO-20446
14,6,,0,0,,south,AYO-20446
15,5,,0,0,,south,AYO-20446
