,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-c220b
1,4,True,0,0,23,north,AYO-c220b
2,5,True,0,0,,north,AYO-c220b
3,6,True,0,0,,north,AYO-c220b
4,1,True,0,0,,north,AYO-c220b
5,2,,0,0,,north,AYO-c220b
6,6,,0,0,,north,AYO-c220b
7,4,,0,0,,north,AYO-c220b
8,5,,0,0,,north,AYO-c220b
9,6,,0,0,,north,AYO-c220b
10,3,,0,0,,north,AYO-c220b
11,4,,0,0,,north,AYO-c220b
12,5,,0,0,,north,AYO-c220b
13,6,,1,0,,north,AYO-c220b
0,2,True,0,0,0,south,AYO-c220b
1,3,True,0,0,25,south,AYO-c220b
2,1,True,0,0,,south,AYO-c220b
3,6,True,0,0,,south,AYO-c220b
4,4,True,0,0,,south,AYO-c220b
5,3,True,0,0,,south,AYO-c220b
6,5,True,0,0,,south,AYO-c220b
7,4,,0,0,,south,AYO-c220b
8,5,,0,0,,south,AYO-c220b
9,6,,0,0,,south,AYO-c220b
10,4,,0,0,,south,AYO-c220b
11,5,,0,0,,south,AYO-c220b
12,6,,0,0,,south,AYO-c220b
13,3,,0,0,,south,AYO-c220b
14,5,,0,0,,south,AYO-c220b
