,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-e13dc
1,4,True,0,0,17,north,AYO-e13dc
2,5,True,0,0,,north,AYO-e13dc
3,6,,0,0,,north,AYO-e13dc
4,2,,0,0,,north,AYO-e13dc
5,4,,0,0,,north,AYO-e13dc
6,5,,0,0,,north,AYO-e13dc
7,6,,0,0,,north,AYO-e13dc
8,3,,0,0,,north,AYO-e13dc
9,1,,0,0,,north,AYO-e13dc
10,4,,0,0,,north,AYO-e13dc
0,2,True,0,0,0,south,AYO-e13dc
1,3,True,0,0,31,south,AYO-e13dc
2,1,True,0,0,,south,AYO-e13dc
3,6,True,0,0,,south,AYO-e13dc
4,4,True,0,0,,south,AYO-e13dc
5,3,True,0,0,,south,AYO-e13dc
6,5,True,0,0,,south,AYO-e13dc
7,4,True,0,0,,south,AYO-e13dc
8,5,True,0,0,,south,AYO-e13dc
9,2,,0,0,,south,AYO-e13dc
10,6,,0,0,,south,AYO-e13dc
11,5,,0,0,,south,AYO-e13dc
12,6,,0,0,,south,AYO-e13dc
13,3,,0,0,,south,AYO-e13dc
14,4,,0,0,,south,AYO-e13dc
15,6,,0,0,,south,AYO-e13dc
16,5,,1,0,,south,AYO-e13dc
