,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-2f308
1,4,True,0,0,13,north,AYO-2f308
2,5,True,0,0,,north,AYO-2f308
3,6,True,0,0,,north,AYO-2f308
4,2,True,0,0,,north,AYO-2f308
5,1,,0,0,,north,AYO-2f308
6,5,,0,0,,north,AYO-2f308
7,6,,0,0,,north,AYO-2f308
8,3,,0,0,,north,AYO-2f308
9,4,,0,0,,north,AYO-2f308
10,5,,0,0,,north,AYO-2f308
11,6,,0,0,,north,AYO-2f308
12,2,,0,0,,north,AYO-2f308
13,3,,0,0,,north,AYO-2f308
14,4,,0,0,,north,AYO-2f308
0,2,True,0,0,0,south,AYO-2f308
1,3,True,0,0,35,south,AYO-2f308
2,1,True,0,0,,south,AYO-2f308
3,6,True,0,0,,south,AYO-2f308
4,4,True,0,0,,south,AYO-2f308
5,3,True,0,0,,south,AYO-2f308
6,5,True,0,0,,south,AYO-2f308
7,4,True,0,0,,south,AYO-2f308
8,5,True,0,0,,south,AYO-2f308
9,2,True,0,0,,south,AYO-2f308
10,6,,0,0,,south,AYO-2f308
11,5,,0,0,,south,AYO-2f308
12,6,,0,0,,south,AYO-2f308
13,1,,0,0,,south,AYO-2f308
14,3,,0,0,,south,AYO-2f308
15,5,,0,0,,south,AYO-2f308
16,4,,0,0,,south,AYO-2f308
17,2,,0,0,,south,AYO-2f308
18,5,,0,0,,south,AYO-2f308
19,6,,1,0,,south,AYO-2f308
