,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-3ec1a
1,4,True,0,0,23,north,AYO-3ec1a
2,5,True,0,0,,north,AYO-3ec1a
3,6,True,0,0,,north,AYO-3ec1a
4,1,True,0,0,,north,AYO-3ec1a
5,2,,0,0,,north,AYO-3ec1a
6,6,,0,0,,north,AYO-3ec1a
7,5,,0,0,,north,AYO-3ec1a
8,3,,0,0,,north,AYO-3ec1a
9,4,,0,0,,north,AYO-3ec1a
10,6,,0,0,,north,AYO-3ec1a
11,5,,0,0,,north,AYO-3ec1a
12,6,,1,0,,north,AYO-3ec1a
0,2,True,0,0,0,south,AYO-3ec1a
1,3,True,0,0,25,south,AYO-3ec1a
2,1,True,0,0,,south,AYO-3ec1a
3,6,True,0,0,,south,AYO-3ec1a
4,4,True,0,0,,south,AYO-3ec1a
5,3,True,0,0,,south,AYO-3ec1a
6,5,True,0,0,,south,AYO-3ec1a
7,4,,0,0,,south,AYO-3ec1a
8,5,,0,0,,south,AYO-3ec1a
9,6,,0,0,,south,AYO-3ec1a
10,4,,0,0,,south,AYO-3ec1a
11,5,,0,0,,south,AYO-3ec1a
12,6,,0,0,,south,AYO-3ec1a
13,3,,0,0,,south,AYO-3ec1a
