,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-643ab
1,4,True,0,0,23,north,AYO-643ab
2,5,True,0,0,,north,AYO-643ab
3,6,True,0,0,,north,AYO-643ab
4,1,True,0,0,,north,AYO-643ab
5,2,,0,0,,north,AYO-643ab
6,6,,0,0,,north,AYO-643ab
7,5,,0,0,,north,AYO-643ab
8,3,,0,0,,north,AYO-643ab
9,4,,0,0,,north,AYO-643ab
10,6,,0,0,,north,AYO-643ab
11,5,,0,0,,north,AYO-643ab
12,6,,1,0,,north,AYO-643ab
0,2,True,0,0,0,south,AYO-643ab
1,3,True,0,0,25,south,AYO-643ab
2,1,True,0,0,,south,AYO-643ab
3,6,True,0,0,,south,AYO-643ab
4,4,True,0,0,,south,AYO-643ab
5,3,True,0,0,,south,AYO-643ab
6,5,,0,0,,south,AYO-643ab
7,4,,0,0,,south,AYO-643ab
8,5,,0,0,,south,AYO-643ab
9,6,,0,0,,south,AYO-643ab
10,5,,0,0,,south,AYO-643ab
11,6,,0,0,,south,AYO-643ab
12,4,,0,0,,south,AYO-643ab
